phrase,vedio,langue
Aboutconnected to,en/aboutconnected_to,en
Abovemore than,en/abovemore-than,en
Absolutely,en/absolutely,en
Absolutely sure,en/absolutely_sure,en
Accessible,en/accessible,en
After noon work you,en/after_noon_work_you,en
Alineofpeople,en/alineofpeople,en
Are you hungry,en/are_you_hungry,en
Before,en/before,en
Best,en/best,en
Blows,en/blows,en
Cofee drink,en/cofee_drink,en
Days,en/days,en
Do,en/do,en
Do you want adrink,en/do_you_want_adrink,en
Do you want to eat,en/do_you_want_to_eat,en
Eyebrows,en/eyebrows,en
Face,en/face,en
Good morning,en/good-morning,en
Happy,en/happy,en
Hello,en/Hello,en
Helpp you,en/helpP_you,en
How you,en/how_you,en
It is nice to meet you,en/it_is_nice_to_meet_you,en
May,en/may,en
My name is,en/my_name_is,en
Process,en/process,en
School,en/school,en
See you later,en/see_you_later,en
Thank you,en/thank_you,en
Today,en/today,en
Today i need go work,en/today_i_need_go_work,en
Whats your name,en/whats_your_name,en
Yes,en/yes,en
You use facebook you,en/you_use_facebook_you,en
A droite,fr/A_droite,fr
A gauche,fr/A_gauche,fr
Accueil,fr/Accueil,fr
Aider,fr/aider,fr
Aller,fr/Aller,fr
Aout,fr/Aout,fr
As tu faim,fr/as_tu_faim,fr
Ascenseur,fr/Ascenseur,fr
Atoutalheure,fr/atoutalheure,fr
Au revoir,fr/Au_revoir,fr
Aujourdhui,fr/Aujourdhui,fr
Aurevoir,fr/aurevoir,fr
Avoir mal,fr/avoir_mal,fr
Avoirpeur,fr/avoirpeur,fr
Avril,fr/Avril,fr
Bibliotheque,fr/Bibliotheque,fr
Bienvenue,fr/Bienvenue,fr
Billetterie,fr/Billetterie,fr
Boire,fr/Boire,fr
Bonjour,fr/Bonjour,fr
Bravo,fr/bravo,fr
Bureau,fr/Bureau,fr
phrase,vedio,langue
Aboutconnected to,en/aboutconnected_to,en
Abovemore than,en/abovemore-than,en
Absolutely,en/absolutely,en
Absolutely sure,en/absolutely_sure,en
Accessible,en/accessible,en
After noon work you,en/after_noon_work_you,en
Alineofpeople,en/alineofpeople,en
Are you hungry,en/are_you_hungry,en
Before,en/before,en
Best,en/best,en
Blows,en/blows,en
Cofee drink,en/cofee_drink,en
Days,en/days,en
Do,en/do,en
Do you want adrink,en/do_you_want_adrink,en
Do you want to eat,en/do_you_want_to_eat,en
Eyebrows,en/eyebrows,en
Face,en/face,en
Good morning,en/good-morning,en
Happy,en/happy,en
Hello,en/Hello,en
Helpp you,en/helpP_you,en
How you,en/how_you,en
It is nice to meet you,en/it_is_nice_to_meet_you..,en
May,en/may,en
My name is,en/my_name_is,en
Process,en/process,en
School,en/school,en
See you later,en/see_you_later,en
Thank you,en/thank_you,en
Today,en/today,en
Today i need go work,en/today_i_need_go_work.,en
Whats your name,en/whats_your_name,en
Yes,en/yes,en
You use facebook you,en/you_use_facebook_you,en
A droite,fr/A_droite,fr
A gauche,fr/A_gauche,fr
Accueil,fr/Accueil,fr
Aider,fr/aider,fr
Aller,fr/Aller,fr
Aout,fr/Aout,fr
As tu faim,fr/as_tu_faim,fr
Ascenseur,fr/Ascenseur,fr
Atoutalheure,fr/atoutalheure,fr
Au revoir,fr/Au_revoir,fr
Aujourdhui,fr/Aujourdhui,fr
Aurevoir,fr/aurevoir,fr
Avoir mal,fr/avoir_mal,fr
Avoirpeur,fr/avoirpeur,fr
Avril,fr/Avril,fr
Bibliotheque,fr/Bibliotheque,fr
Bienvenue,fr/Bienvenue,fr
Billetterie,fr/Billetterie,fr
Boire,fr/Boire,fr
Bonjour,fr/Bonjour,fr
Bravo,fr/bravo,fr
Bureau,fr/Bureau,fr
Cafe,fr/Cafe,fr
Cava,fr/Cava,fr
Chaud,fr/chaud,fr
Chef,fr/Chef,fr
Chocolat,fr/Chocolat,fr
Cinema,fr/Cinema,fr
Collegue,fr/Collegue,fr
Consigne,fr/Consigne,fr
Dangereux,fr/dangereux,fr
Decembre,fr/Decembre,fr
demain,fr/Demain,fr
Derriere,fr/derriere,fr
Dessiner,fr/dessiner,fr
Different,fr/Different,fr
Difficile,fr/Difficile,fr
Dimanche,fr/Dimanche,fr
Directrice,fr/Directrice,fr
Doucement,fr/doucement,fr
Eau,fr/Eau,fr
Enbas,fr/Enbas,fr
Encore,fr/encore,fr
Entree,fr/Entree,fr
Escalier,fr/Escalier,fr
Etoiles,fr/Etoiles,fr
Etrecontent,fr/etrecontent,fr
Etrefatigue,fr/etrefatigue,fr
Etrefustre,fr/etrefustre,fr
Expositions,fr/Expositions,fr
Fermé,fr/Fermé,fr
Fievre,fr/Fievre,fr
Fini,fr/fini,fr
Froid,fr/froid,fr
